NO_BLOCO;NO_PAIS
Países Islâmicos Não Árabes;Gâmbia
Países Islâmicos Não Árabes;Chade
Países Islâmicos Não Árabes;Níger
Países Islâmicos Não Árabes;Benin
Países Islâmicos Não Árabes;Gabão
Países Islâmicos Não Árabes;Burkina Faso
Países Islâmicos Não Árabes;Serra Leoa
Países Islâmicos Não Árabes;Saara Ocidental
Países Islâmicos Não Árabes;Togo
Países Islâmicos Não Árabes;Mali
Países Islâmicos Não Árabes;Senegal
Países Islâmicos Não Árabes;Uganda
Países Islâmicos Não Árabes;Mayotte
Países Islâmicos Não Árabes;Nigéria
Países Islâmicos Não Árabes;Costa do Marfim
Países Islâmicos Não Árabes;Guiné
Países Islâmicos Não Árabes;Moçambique
Países Islâmicos Não Árabes;Suriname
Países Islâmicos Não Árabes;Guiana
Países Islâmicos Não Árabes;Turcomenistão
Países Islâmicos Não Árabes;Maldivas
Países Islâmicos Não Árabes;Afeganistão
Países Islâmicos Não Árabes;Quirguistão
Países Islâmicos Não Árabes;Uzbequistão
Países Islâmicos Não Árabes;Paquistão
Países Islâmicos Não Árabes;Azerbaijão
Países Islâmicos Não Árabes;Tadjiquistão
Países Islâmicos Não Árabes;Bangladesh
Países Islâmicos Não Árabes;Cazaquistão
Países Islâmicos Não Árabes;Brunei
Países Islâmicos Não Árabes;Malásia
Países Islâmicos Não Árabes;Indonésia
Países Islâmicos Não Árabes;Albânia
Países Islâmicos Não Árabes;Bósnia-Herzegovina
Países Islâmicos Não Árabes;Turquia
Países Islâmicos Não Árabes;Irã
Países Árabes;Líbia
Países Árabes; Somália
Países Árabes;Sudão
Países Árabes;Tunísia
Países Árabes;Comores
Países Árabes;Egito
Países Árabes;Mauritânia
Países Árabes;Argélia
Países Árabes;Marrocos
Países Árabes;Djibuti
Países Árabes;Iêmen
Países Árabes;Líbano
Países Árabes;Coveite (Kuweit)
Países Árabes;Emirados Árabes Unidos
Países Árabes;Iêmen Democrático
Países Árabes;Palestina
Países Árabes;Síria
Países Árabes;Jordânia
Países Árabes;Dubai
Países Árabes;Iraque
Países Árabes;Omã
Países Árabes;Barein
Países Árabes;Catar
Brasil;Brasil
África;Chade
África;Níger
África;Benin
África;Gabão
África;Líbia
África;Malavi
África;Cabo Verde
África;Gâmbia
África;Seicheles
África;Somália
África;Suazilândia
África;Sudão
África;Tunísia
África;Burkina Faso
África;Angola
África;Burundi
África;Comores
África;Egito
África;Etiópia
África;Libéria
África;Mauritânia
África;Santa Helena
África;Serra Leoa
África;Maurício
África;Saara Ocidental
África;Sudão do Sul
África;Togo
África;Zâmbia
África;Argélia
África;Botsuana
África;Eritreia
África;Guiné Equatorial
África;Guiné-Bissau
África;Lesoto
África;Mali
África;São Tomé e Príncipe
África;Senegal
África;Território Britânico do Oceano Índico
África;Uganda
África;Congo, República Democrática
África;Gana
África;Namíbia
África;Quênia
África;Reunião
África;Zimbábue
África;Mayotte
África;Madagascar
África;Marrocos
África;Nigéria
África;República Centro-Africana
África;Ruanda
África do Sul;África do Sul
África;Tanzânia
África;Djibuti
África;Congo
África;Costa do Marfim
África;Guiné
África;Moçambique
África;Camarões
América Central e Caribe;Virgens, Ilhas (Americanas)
América Central e Caribe;Costa Rica
América Central e Caribe;Sint Maarten
América Central e Caribe;Bahamas
América Central e Caribe;Cayman, Ilhas
América Central e Caribe;Guatemala
América Central e Caribe;Martinica
América Central e Caribe;Suriname
América Central e Caribe;Zona do Canal do Panamá
América Central e Caribe;Anguilla
América Central e Caribe;Haiti
América Central e Caribe;Montserrat
América Central e Caribe;Santa Lúcia
América Central e Caribe;São Bartolomeu
América Central e Caribe;Granada
América Central e Caribe;Panamá
América Central e Caribe;Aruba
América Central e Caribe;Belize
América Central e Caribe;Dominica
América Central e Caribe;Honduras
América Central e Caribe;Guadalupe
América Central e Caribe;Cuba
América Central e Caribe;Bermudas
América Central e Caribe;Virgens, Ilhas (Britânicas)
América Central e Caribe;Nicarágua
América Central e Caribe;El Salvador
América Central e Caribe;São Cristóvão e Névis
América Central e Caribe;Curaçao
América Central e Caribe;Jamaica
América Central e Caribe;Porto Rico
América Central e Caribe;Bonaire, Saint Eustatius e Saba
América Central e Caribe;São Martinho, Ilha de (parte francesa)
América Central e Caribe;Antígua e Barbuda
América Central e Caribe;Antilhas Holandesas
América Central e Caribe;Barbados
América Central e Caribe;República Dominicana
América Central e Caribe;Saint Kitts e Nevis
América Central e Caribe;São Pedro e Miquelon
América Central e Caribe;São Vicente e Granadinas
América Central e Caribe;Trinidad e Tobago
América Central e Caribe;Turcas e Caicos, Ilhas
América Central e Caribe;México
Canadá;Canadá
EUA;Estados Unidos
América do Sul;Guiana
América do Sul;Venezuela
América do Sul;Falkland (Malvinas)
América do Sul;Peru
América do Sul;Guiana Francesa
América do Sul;Equador
América do Sul;Chile
América do Sul;Colômbia
América do Sul;Bolívia
Ásia (Outros);Turcomenistão
Ásia (Outros);Armênia
Coreia do Sul;Coreia do Sul
China (Com Hong Kong);Hong Kong
Ásia (Outros);Butão
China (Com Hong Kong);China
Japão;Japão
China (Com Hong Kong);Macau
Ásia (Outros);Maldivas
Ásia (Outros);Afeganistão
Ásia (Outros);Taiwan (Formosa)
Ásia (Outros);Coreia do Norte
Ásia (Outros); Índia
Ásia (Outros);Quirguistão
Ásia (Outros);Uzbequistão
Ásia (Outros);Geórgia
Ásia (Outros);Paquistão
Ásia (Outros);Azerbaijão
Ásia (Outros);Sri Lanka
Ásia (Outros);Tadjiquistão
Ásia (Outros);Bangladesh
Ásia (Outros);Timor Leste
Ásia (Outros);Nepal
Ásia (Outros);Lebuan, Ilhas
Ásia (Outros);Cazaquistão
Ásia (Outros);Mongólia
Associação de Nações do Sudeste Asiático - ASEAN;Tailândia
Associação de Nações do Sudeste Asiático - ASEAN;Camboja
Associação de Nações do Sudeste Asiático - ASEAN;Laos
Associação de Nações do Sudeste Asiático - ASEAN;Brunei
Associação de Nações do Sudeste Asiático - ASEAN;Vietnã
Associação de Nações do Sudeste Asiático - ASEAN;Cingapura
Associação de Nações do Sudeste Asiático - ASEAN;Mianmar
Associação de Nações do Sudeste Asiático - ASEAN;Malásia
Associação de Nações do Sudeste Asiático - ASEAN;Filipinas
Associação de Nações do Sudeste Asiático - ASEAN;Indonésia
Europa;União das Repúblicas Socialistas Soviéticas
Europa;Noruega
Europa;Reino Unido
Europa;Rússia
Europa;Suíça
Europa;Islândia
Europa;Inglaterra
Europa;Faroe, Ilhas
Europa;Belarus
Europa;Macedônia
Europa;Liechtenstein
Europa;Andorra
Europa;Alboran-Perejil, Ilhas
Europa;Albânia
Europa;Sérvia
Europa;Ucrânia
Europa;Groenlândia
Europa;Tchecoslováquia
Europa;Mônaco
Europa;Moldávia
Europa;Vaticano
Europa;San Marino
Europa;Montenegro
Europa;Gibraltar
Europa;Bósnia-Herzegovina
Europa;Iugoslávia
Oriente Médio;Turquia
Mercado Comum do Sul - Mercosul;Argentina
Mercado Comum do Sul - Mercosul;Paraguai
Mercado Comum do Sul - Mercosul;Internação na Zona Franca de Manaus
Mercado Comum do Sul - Mercosul;Uruguai
Oceania;Nauru
Oceania;Johnston, Ilhas
Oceania;Pitcairn
Oceania;Vanuatu
Oceania;Christmas (Navidad), Ilha
Oceania;Micronésia
Oceania;Marshall, Ilhas
Oceania;Cook, Ilhas
Oceania;Wallis e Futuna, Ilhas
Oceania;Tuvalu
Oceania;Papua, Território de
Oceania;Pacífico, Ilhas do (Território Fideicomisso EUA)
Oceania;Cocos (Keeling), Ilhas
Oceania;Samoa
Oceania;Salomão, Ilhas
Oceania;Pacífico, Ilhas do (EUA)
Oceania;Guam
Oceania;Tonga
Oceania;Norfolk, Ilha
Oceania;Papua Nova Guiné
Oceania;Nova Zelândia
Oceania;Pacífico, Ilhas do (Administração dos EUA)
Oceania;Fiji
Oceania;Samoa Americana
Oceania;Marianas do Norte, Ilhas
Oceania;Midway, Ilhas
Oceania;Palau
Oceania;Wake, Ilha
Oceania;Austrália
Oceania;Niue
Oceania;Toquelau
Oceania;Kiribati
Oceania;Nova Caledônia
Oceania;Polinésia Francesa
Oriente Médio;Iêmen
Oriente Médio;Líbano
Oriente Médio;Coveite (Kuweit)
Oriente Médio;Emirados Árabes Unidos
Oriente Médio;Iêmen Democrático
Oriente Médio;Palestina
Oriente Médio;Arábia Saudita
Oriente Médio;Síria
Oriente Médio;Jordânia
Oriente Médio;Israel
Oriente Médio;Dubai
Oriente Médio;Iraque
Oriente Médio;Omã
Oriente Médio;Irã
Oriente Médio;Barein
Oriente Médio;Catar
União Europeia - UE;Terras Austrais Francesas
União Europeia - UE;Polônia
União Europeia - UE;Lituânia
União Europeia - UE;Chipre
União Europeia - UE;Ilha de Man
União Europeia - UE;Bélgica
União Europeia - UE;Canal, Ilhas do (Guernsey)
União Europeia - UE;Madeira, Ilha da
União Europeia - UE;Malta
União Europeia - UE;Itália
União Europeia - UE;França
União Europeia - UE;Luxemburgo
União Europeia - UE;Hungria
União Europeia - UE;Eslovênia
União Europeia - UE;Suécia
União Europeia - UE;Eslováquia
União Europeia - UE;Aland, Ilhas
União Europeia - UE;Alemanha
União Europeia - UE;Jersey
União Europeia - UE;Tcheca, República
União Europeia - UE;Áustria
União Europeia - UE;Dinamarca
União Europeia - UE;Canárias, Ilhas
União Europeia - UE;Croácia
União Europeia - UE;Espanha
União Europeia - UE;Bulgária
União Europeia - UE;Grécia
União Europeia - UE;Países Baixos (Holanda)
União Europeia - UE;Letônia
União Europeia - UE;Romênia
União Europeia - UE;Guernsey
União Europeia - UE;Finlândia
União Europeia - UE;Estônia
União Europeia - UE;Portugal
União Europeia - UE;Irlanda
